order_id,product_id
119249,106642
119249,107342
119249,96106
119249,102321
119249,109526
119249,105056
119248,118419
119248,100638
119248,97536
119248,112057
119248,105959
119247,104785
119247,112185
119247,117190
119247,100436
119246,96405
119246,108424
119246,101010
119246,111579
119245,100868
119245,111609
119245,98430
119236,102991
119236,107830
119236,114558
119236,110403
119236,112106
119235,101184
119235,110403
119235,108524
119234,97240
119234,114025
119233,108858
119233,119051
119233,101645
119233,100971
119232,106391
119232,118899
119231,110095
119231,95810
